Within cluster sum of squared errors: 77.37408424908426
Cluster centroids:
				Cluster#
Attribute		0		1		2		3		4		5		6		7		8		9
         		9		8		12		3		5		20		13		6		14		10
Home		0.0		0.875		0.8333		1.0		1.0		0.5		1.0		1.0		0.0		0.6
Products		1.0		0.125		0.9167		1.0		0.8		0.9		0.4615		0.3333		0.8571		0.6
Search		1.0		1.0		0.75		0.6667		1.0		0.05		0.2308		1.0		0.0		0.0
Prod_A		0.0		0.5		0.8333		0.0		0.0		0.55		0.6923		1.0		0.2143		1.0
Prod_B		1.0		0.125		0.0		0.3333		0.8		1.0		0.0769		0.8333		1.0		0.0
Prod_C		0.4444		0.125		0.9167		0.0		0.6		0.5		0.0769		1.0		0.5714		0.1
Cart		0.5556		1.0		1.0		1.0		0.0		1.0		0.0		0.3333		0.0714		1.0
Purchase		0.1111		0.875		0.5		0.0		0.0		0.8		0.0		0.1667		0.0		0.8
